Sample,Match 1 Reference,Match 1 Confidence,Match 1 Window,Match 2 Reference,Match 2 Confidence,Match 2 Window,Time to Compute (ns)
exp_signal0.csv,ref_signal2.csv,0.3344322130397333,2.0 - 51.0,ref_signal0.csv,0.24908810378099192,46.0 - 95.0,730911
exp_signal1.csv,ref_signal0.csv,0.544863313684777,29.0 - 78.0,ref_signal3.csv,0.2298356303118173,21.0 - 70.0,760817
exp_signal20.csv,ref_signal0.csv,0.5074278967338829,42.0 - 91.0,ref_signal2.csv,0.30412947521923883,8.0 - 57.0,738546
exp_signal39.csv,ref_signal2.csv,0.47702355792954443,5.0 - 54.0,ref_signal0.csv,0.27125434811266086,37.0 - 86.0,724208
exp_signal9.csv,ref_signal3.csv,0.36320899406455825,8.0 - 57.0,ref_signal1.csv,0.24924436655414087,2.0 - 51.0,756179
exp_signal32.csv,ref_signal2.csv,0.6210307611091309,42.0 - 91.0,ref_signal0.csv,0.36558978677369164,4.0 - 53.0,741902
exp_signal12.csv,ref_signal0.csv,0.6395474485007777,18.0 - 67.0,ref_signal2.csv,0.40239940499398047,50.0 - 99.0,743335
exp_signal35.csv,ref_signal1.csv,0.6230667192523388,37.0 - 86.0,ref_signal3.csv,0.2320088650361254,38.0 - 87.0,730831
exp_signal29.csv,ref_signal3.csv,0.3606676875866232,43.0 - 92.0,ref_signal1.csv,0.20091982698644498,7.0 - 56.0,745098
exp_signal26.csv,ref_signal2.csv,0.4738585736095862,10.0 - 59.0,ref_signal0.csv,0.30906461843667304,43.0 - 92.0,741981
exp_signal4.csv,ref_signal1.csv,0.5345387429618839,11.0 - 60.0,ref_signal3.csv,0.22443114543046488,14.0 - 63.0,746279
exp_signal23.csv,ref_signal0.csv,0.49245915125791523,23.0 - 72.0,ref_signal2.csv,0.30915822922938735,50.0 - 99.0,729859
exp_signal21.csv,ref_signal0.csv,0.5263795750303437,47.0 - 96.0,ref_signal2.csv,0.26063964787350713,16.0 - 65.0,734298
exp_signal11.csv,ref_signal2.csv,0.6272791596230438,17.0 - 66.0,ref_signal0.csv,0.2851498101025974,50.0 - 99.0,745579
exp_signal3.csv,ref_signal0.csv,0.6283142333375934,10.0 - 59.0,ref_signal2.csv,0.43661889415215405,44.0 - 93.0,741420
exp_signal25.csv,ref_signal1.csv,0.6603704215504759,20.0 - 69.0,ref_signal3.csv,0.20587421960028102,50.0 - 99.0,725541
exp_signal5.csv,ref_signal2.csv,0.6520918176387346,33.0 - 82.0,ref_signal0.csv,0.3582388580590139,2.0 - 51.0,744376
exp_signal30.csv,ref_signal0.csv,0.605051236608415,35.0 - 84.0,ref_signal2.csv,0.2817112590128387,3.0 - 52.0,760066
exp_signal33.csv,ref_signal2.csv,0.5508107809246844,14.0 - 63.0,ref_signal0.csv,0.29038089679336426,46.0 - 95.0,739668
